claim,gold_label,company,year,original_text,page_number,promise_status,verification_timeline,evidence_status,evidence_quality,source_url
"Greenergy measures GHG emissions across scopes 1, 2, and 3, providing detailed intensity metrics such as CO2e per unit of production, CO2e per employee, and emissions by activity in various regions, ensuring transparency and accountability.",not_greenwashing,greenergy,2022,"Greenergy’s alignment with TCFD cross-industry metrics Greenergy has various KPIs that are used to report publicly and track internally but recognise the beneﬁt of setting metrics that align with our most material risks and opportunities. The table below sets out our alignment with the TCFD recommended cross-industry metrics and our actions to improve our metrics and targets.
GHG emissions are measured across scope 1, scope 2, and scope 3, with intensity metrics including CO2e per unit of production, CO2e per employee, and emissions by activity in various regions.
Greenergy has been reporting their GHG emissions since 2019, with 2022 marking the incorporation of material risks and opportunities connected to these emissions in their internal reporting.
The company is setting metrics to monitor transition risks, focusing on the extent to which these risks impact the business and the management actions being taken.
Physical risks are also being tracked with metrics to measure how these risks affect business activities and the effectiveness of management actions.
Greenergy is identifying and measuring climate-related opportunities, ensuring they align with the company's business activities.
Capital deployment metrics are being developed to track investments directed toward climate-related risks and opportunities.
An internal carbon price of £80 per tonne has been set, used in decision-making for decarbonization projects and next-generation developments.
Currently, Greenergy does not have a remuneration metric linked to climate considerations and does not anticipate setting one in the near term.",30,Yes,Already,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy proudly reports on its GHG emissions, showcasing its commitment to transparency and sustainability.",greenwashing,greenergy,2022,"Metric category Alignment and rationale GHG emissions: absolute scope 1,scope 2, and scope 3; emissions intensityScope 1, scope 2, scope 3, tonnes CO2e per cubic metre of product sold (scope 1 and 2), tonnes of CO2e per employee, ﬂights, train, car travel (metric tonnes), wasteand water (metric tonnes), CO2 emissions by activity (renewables, retail, marketing,and supply – Europe, retail, marketing, and supply – Americas, Middle East). Greenergy have been reporting their GHG emissions since 2019. In 2022, we haveincorporated in our internal reporting where our material risks and opportunitiesare connected to our GHG emissions. Please refer to page 19 for information on methodology used.Transition risks: amount and extentof assets or business activities vulnerable to transition risks Greenergy is looking to set metrics and risk management indicators to measure and monitor the extent to which our most material transition risks impact our business,and to monitor the management actions we are taking.Physical risks: amount and extent of assets of business activities vulnerable to physical risks Greenergy is looking to set metrics and risk management indicators to measure andmonitor the extent to which our most material transition risks impact our business, and to monitor the management actions we are taking. Climate-related opportunities: proportion of revenue, assets, or otherbusiness activities aligned with climate-related opportunities Greenergy is looking to set metrics to measure and monitor the scale of the opportunities that align with our business activities.Capital deployment: amount of capitalexpenditure, ﬁnancing or investment deployed toward climate-related risks and opportunitiesGreenergy is looking to set metrics for capital deployment following our forthcoming quantitative scenario analysis.Internal carbon prices: price on each tonne of GHG emissions used internally by an organisationInternal carbon price (£80 per tonne): Greenergy recently updated our internal carbon price which is used in decision making for new projects including decarbonisation and next generation projects.Remuneration: proportion ofexecutive managementremuneration linked to climate considerations Greenergy does not have a remuneration metric and does not anticipate setting one in the near-term",30,No,,No,,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy aims to broaden the range of waste feedstocks used to create products that contribute to decarbonisation and a circular economy, with a commitment to set quantitative targets for circular ambitions in 2023.",not_greenwashing,greenergy,2022,"Circular Solving global waste challenges. As we look to net zero, we want to contribute to a circular economy, prioritising the reuse of wastes. Environment (E) We understand our continued role in utilising the valuable resources and materials contained in waste. Our focus is on broadening the range of waste feedstocks we use to create products that contribute to decarbonisation and a circular economy. We aim to identify opportunities for waste prevention across our own operations, and through the products we sell. We are committed to: Our principles • Repurposing waste to create low carbon or circular economy products• Reducing the operational waste we generate • Reducing the waste associated with the products and packaging sold by our retail sites • Setting quantitative targets for our circular ambitions during 2023.• We will develop solutions that contribute to a circular economy whilst prioritising the reuse of waste• We will reduce the waste generated by our operations, and the products we sell. Since 2017,100% of our biodiesel manufactured has come from waste 79.8% carbon savings from the biofuels we blend 83.7% greenhouse gas saving from the fuel we have blended since 2018.",31,Yes,2 to 5 years,Yes,Not Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy claims to reduce emissions and energy/resource requirements by using waste-based biodiesel, but does not specify how much emissions are reduced or what the exact energy/resource savings are.",greenwashing,greenergy,2022,"Creating advanced biofuels from waste We seek to reduce the emissions from the fuel we supply whilst reducing the energy and resource requirements of our operations. Our priorities are: Since 2017, 100% of our biodiesel manufactured has come from waste Environment (E) Expand production and supply of waste-based biodiesel Wherever possible, we blend biofuels derived from wastes because they deliver the greatest carbon beneﬁt by having a lower land use impact than biofuels made from crops and not competing with food chains. In order to secure our own supply of waste-derived biofuels, we continue to invest in improving the eﬃciency and capacity of our own manufacturing capability, operating three production plants. This allows us to expand our supply of waste-based biofuel to meet rising renewable fuel obligations and to reduce the emissions associated with that production.",32,Yes,More than 5 years,Yes,Not Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy states that since 2017, 100% of its biodiesel manufactured has come from waste, providing a clear and measurable commitment to reducing emissions and resource use.",not_greenwashing,greenergy,2022,"Creating advanced biofuels from waste We seek to reduce the emissions from the fuel we supply whilst reducing the energy and resource requirements of our operations. Our priorities are: Since 2017, 100% of our biodiesel manufactured has come from waste Environment (E) Expand production and supply of waste-based biodiesel Wherever possible, we blend biofuels derived from wastes because they deliver the greatest carbon beneﬁt by having a lower land use impact than biofuels made from crops and not competing with food chains. In order to secure our own supply of waste-derived biofuels, we continue to invest in improving the eﬃciency and capacity of our own manufacturing capability, operating three production plants. This allows us to expand our supply of waste-based biofuel to meet rising renewable fuel obligations and to reduce the emissions associated with that production.",32,Yes,More than 5 years,Yes,Not Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy claims that waste-based biofuels deliver the greatest carbon benefit due to lower land use impact and not competing with food chains, without providing evidence or third-party verification.",greenwashing,greenergy,2022,"Creating advanced biofuels from waste We seek to reduce the emissions from the fuel we supply whilst reducing the energy and resource requirements of our operations. Our priorities are: Since 2017, 100% of our biodiesel manufactured has come from waste Environment (E) Expand production and supply of waste-based biodiesel Wherever possible, we blend biofuels derived from wastes because they deliver the greatest carbon beneﬁt by having a lower land use impact than biofuels made from crops and not competing with food chains. In order to secure our own supply of waste-derived biofuels, we continue to invest in improving the eﬃciency and capacity of our own manufacturing capability, operating three production plants. This allows us to expand our supply of waste-based biofuel to meet rising renewable fuel obligations and to reduce the emissions associated with that production.",32,Yes,More than 5 years,Yes,Not Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy cites third-party studies and reports that confirm the lower land use impact and non-competition with food chains of waste-based biofuels, supporting the claim of greater carbon benefits.",not_greenwashing,greenergy,2022,"Creating advanced biofuels from waste We seek to reduce the emissions from the fuel we supply whilst reducing the energy and resource requirements of our operations. Our priorities are: Since 2017, 100% of our biodiesel manufactured has come from waste Environment (E) Expand production and supply of waste-based biodiesel Wherever possible, we blend biofuels derived from wastes because they deliver the greatest carbon beneﬁt by having a lower land use impact than biofuels made from crops and not competing with food chains. In order to secure our own supply of waste-derived biofuels, we continue to invest in improving the eﬃciency and capacity of our own manufacturing capability, operating three production plants. This allows us to expand our supply of waste-based biofuel to meet rising renewable fuel obligations and to reduce the emissions associated with that production.",32,Yes,More than 5 years,Yes,Not Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy expands the purchase of used cooking oils from around the world as raw materials for biodiesel manufacturing operations, adhering to the International Sustainability and Carbon Certification (ISCC) standards, which provides a clear and robust framework for sustainability.",not_greenwashing,greenergy,2022,"Establish diverse and sustainable supply chains with robust certiﬁcation systems We continue to expand our purchase of used cooking oils from around the world as raw materials for our biodiesel manufacturing operations. We source not only in the UK and Europe, but also from countries where comparable biofuel incentives do not exist. In these counties, waste oils are often not disposed of responsibly resulting in signiﬁcant potential health and environmental impacts. In order to demonstrate the oils we use are from waste, we reply on robust supply chain certiﬁcation processes that meet the International Sustainability and Carbon Certiﬁcation (ISCC) standards. This process traces every litre of oil back to the speciﬁc restaurant or food producer. Technological innovation is key to continuous improvement, and we are working with and investing in industry innovators such as Bioledger to improve the eﬃciency and integrity of data collection and reporting.",32,Yes,2 to 5 years,Yes,Not Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy sources waste oils from countries where comparable biofuel incentives do not exist, presenting this as a voluntary sustainability initiative without mentioning that it is a response to the lack of incentives in those countries.",greenwashing,greenergy,2022,"Establish diverse and sustainable supply chains with robust certiﬁcation systems We continue to expand our purchase of used cooking oils from around the world as raw materials for our biodiesel manufacturing operations. We source not only in the UK and Europe, but also from countries where comparable biofuel incentives do not exist. In these counties, waste oils are often not disposed of responsibly resulting in signiﬁcant potential health and environmental impacts. In order to demonstrate the oils we use are from waste, we reply on robust supply chain certiﬁcation processes that meet the International Sustainability and Carbon Certiﬁcation (ISCC) standards. This process traces every litre of oil back to the speciﬁc restaurant or food producer. Technological innovation is key to continuous improvement, and we are working with and investing in industry innovators such as Bioledger to improve the eﬃciency and integrity of data collection and reporting.",32,Yes,2 to 5 years,Yes,Not Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy sources waste oils from countries where comparable biofuel incentives do not exist, as part of a broader strategy to reduce waste and promote sustainable practices, which is a voluntary initiative beyond legal compliance.",not_greenwashing,greenergy,2022,"Establish diverse and sustainable supply chains with robust certiﬁcation systems We continue to expand our purchase of used cooking oils from around the world as raw materials for our biodiesel manufacturing operations. We source not only in the UK and Europe, but also from countries where comparable biofuel incentives do not exist. In these counties, waste oils are often not disposed of responsibly resulting in signiﬁcant potential health and environmental impacts. In order to demonstrate the oils we use are from waste, we reply on robust supply chain certiﬁcation processes that meet the International Sustainability and Carbon Certiﬁcation (ISCC) standards. This process traces every litre of oil back to the speciﬁc restaurant or food producer. Technological innovation is key to continuous improvement, and we are working with and investing in industry innovators such as Bioledger to improve the eﬃciency and integrity of data collection and reporting.",32,Yes,2 to 5 years,Yes,Not Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
Greenergy's next generation projects are eco-friendly and contribute to a circular economy.,greenwashing,greenergy,2022,"Develop next generation renewablesOur next generation projects focus on utilising diﬀerent waste feedstocks such as used cooking oil, end-of-life tyres and plastics that can deliver a positive environmental impact by reducing waste entering landﬁll and turning waste into renewables. Repurposing waste products builds a circular economy, that will result in a diversiﬁed, low or no carbon, waste-to-value model. Our GTT project and sustainable aviation fuel (SAF) projects currently under development will create new waste-to-value propositions. GTT will use end-of-life tyres to produce low carbon biofuels for transport and recovered carbon black that can be used in new tyre production. Our SAF project is the ﬁrst of its kind in the UK to produce SAF from waste oils. We continue to explore opportunities to develop next generation renewable solutions for transport, energy and circular economy and low carbon feedstocks.",32,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
Greenergy's GTT project will use end-of-life tyres to produce low carbon biofuels and recovered carbon black for new tyre production.,not_greenwashing,greenergy,2022,"Develop next generation renewablesOur next generation projects focus on utilising diﬀerent waste feedstocks such as used cooking oil, end-of-life tyres and plastics that can deliver a positive environmental impact by reducing waste entering landﬁll and turning waste into renewables. Repurposing waste products builds a circular economy, that will result in a diversiﬁed, low or no carbon, waste-to-value model. Our GTT project and sustainable aviation fuel (SAF) projects currently under development will create new waste-to-value propositions. GTT will use end-of-life tyres to produce low carbon biofuels for transport and recovered carbon black that can be used in new tyre production. Our SAF project is the ﬁrst of its kind in the UK to produce SAF from waste oils. We continue to explore opportunities to develop next generation renewable solutions for transport, energy and circular economy and low carbon feedstocks.",32,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy's SAF project is the first of its kind in the UK to produce SAF from waste oils, making it a groundbreaking and sustainable initiative.",greenwashing,greenergy,2022,"Develop next generation renewablesOur next generation projects focus on utilising diﬀerent waste feedstocks such as used cooking oil, end-of-life tyres and plastics that can deliver a positive environmental impact by reducing waste entering landﬁll and turning waste into renewables. Repurposing waste products builds a circular economy, that will result in a diversiﬁed, low or no carbon, waste-to-value model. Our GTT project and sustainable aviation fuel (SAF) projects currently under development will create new waste-to-value propositions. GTT will use end-of-life tyres to produce low carbon biofuels for transport and recovered carbon black that can be used in new tyre production. Our SAF project is the ﬁrst of its kind in the UK to produce SAF from waste oils. We continue to explore opportunities to develop next generation renewable solutions for transport, energy and circular economy and low carbon feedstocks.",32,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy is developing a SAF project in the UK that will produce sustainable aviation fuel from waste oils, aiming to reduce carbon emissions in the aviation sector.",not_greenwashing,greenergy,2022,"Develop next generation renewablesOur next generation projects focus on utilising diﬀerent waste feedstocks such as used cooking oil, end-of-life tyres and plastics that can deliver a positive environmental impact by reducing waste entering landﬁll and turning waste into renewables. Repurposing waste products builds a circular economy, that will result in a diversiﬁed, low or no carbon, waste-to-value model. Our GTT project and sustainable aviation fuel (SAF) projects currently under development will create new waste-to-value propositions. GTT will use end-of-life tyres to produce low carbon biofuels for transport and recovered carbon black that can be used in new tyre production. Our SAF project is the ﬁrst of its kind in the UK to produce SAF from waste oils. We continue to explore opportunities to develop next generation renewable solutions for transport, energy and circular economy and low carbon feedstocks.",32,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy is committed to developing next generation renewable solutions for transport, energy, and circular economy, ensuring a sustainable future.",greenwashing,greenergy,2022,"Develop next generation renewablesOur next generation projects focus on utilising diﬀerent waste feedstocks such as used cooking oil, end-of-life tyres and plastics that can deliver a positive environmental impact by reducing waste entering landﬁll and turning waste into renewables. Repurposing waste products builds a circular economy, that will result in a diversiﬁed, low or no carbon, waste-to-value model. Our GTT project and sustainable aviation fuel (SAF) projects currently under development will create new waste-to-value propositions. GTT will use end-of-life tyres to produce low carbon biofuels for transport and recovered carbon black that can be used in new tyre production. Our SAF project is the ﬁrst of its kind in the UK to produce SAF from waste oils. We continue to explore opportunities to develop next generation renewable solutions for transport, energy and circular economy and low carbon feedstocks.",32,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy claims that 93% of biodiesel sold since 2018 is from waste, but this year, the company supplemented with non-waste biodiesel, which is not clearly disclosed as a separate category.",greenwashing,greenergy,2022,"Biofuels supplied Since 2018, 93% of our total biodiesel sold has come from wastes. Environment (E) Biodiesel We purchase waste oils as feedstock for our biodiesel manufacturing activities and continually invest in technical enhancements to our plants, such as the expansion works currently underway in Amsterdam. This gives us the ability to process a broader range of waste oils and fats, increasing raw material volumes and production capacity to meet growing demand for biodiesel. Whilst all of the biodiesel we produce is made from wastes, this year, we supplemented our blending with non-waste biodiesel. Biodiesel blended into diesel supplied in the UK in 2022 The donut chart shows that 77.01% of the waste is composed of used cooking oil, making it the largest category. Food waste represents a minimal amount at 0.02%, while other wastes account for 3.59%. The remaining 19.38% falls under the category of other types of waste. This indicates that used cooking oil is the predominant waste type compared to all other categories combined.",33,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy states that 93% of biodiesel sold since 2018 is from waste, and while non-waste biodiesel was used this year, it is clearly disclosed in the report.",not_greenwashing,greenergy,2022,"Biofuels supplied Since 2018, 93% of our total biodiesel sold has come from wastes. Environment (E) Biodiesel We purchase waste oils as feedstock for our biodiesel manufacturing activities and continually invest in technical enhancements to our plants, such as the expansion works currently underway in Amsterdam. This gives us the ability to process a broader range of waste oils and fats, increasing raw material volumes and production capacity to meet growing demand for biodiesel. Whilst all of the biodiesel we produce is made from wastes, this year, we supplemented our blending with non-waste biodiesel. Biodiesel blended into diesel supplied in the UK in 2022 The donut chart shows that 77.01% of the waste is composed of used cooking oil, making it the largest category. Food waste represents a minimal amount at 0.02%, while other wastes account for 3.59%. The remaining 19.38% falls under the category of other types of waste. This indicates that used cooking oil is the predominant waste type compared to all other categories combined.",33,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy claims that biodiesel is made from waste, but the report shows that 77.01% of the waste is used cooking oil, which is not a significant waste stream compared to other types of waste.",greenwashing,greenergy,2022,"Biofuels supplied Since 2018, 93% of our total biodiesel sold has come from wastes. Environment (E) Biodiesel We purchase waste oils as feedstock for our biodiesel manufacturing activities and continually invest in technical enhancements to our plants, such as the expansion works currently underway in Amsterdam. This gives us the ability to process a broader range of waste oils and fats, increasing raw material volumes and production capacity to meet growing demand for biodiesel. Whilst all of the biodiesel we produce is made from wastes, this year, we supplemented our blending with non-waste biodiesel. Biodiesel blended into diesel supplied in the UK in 2022 The donut chart shows that 77.01% of the waste is composed of used cooking oil, making it the largest category. Food waste represents a minimal amount at 0.02%, while other wastes account for 3.59%. The remaining 19.38% falls under the category of other types of waste. This indicates that used cooking oil is the predominant waste type compared to all other categories combined.",33,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy claims to maximize the use of waste-derived ethanol, but in 2022, only 17.58% of the bioethanol blended into petrol in the UK came from waste sources.",greenwashing,greenergy,2022,"Bioethanol Although we are not an ethanol producer, we work with innovative third-party manufactuers to maximise our use of waste-derived ethanol as a gasoline blend component Bioethanol blended into petrol supplied in the UK in 2022 In 2022, bioethanol blended into petrol supplied in the UK was primarily derived from corn, which made up 51.7% of the total blend.
Sugar cane was the second largest source of bioethanol in the UK, contributing 21.61% to the blend.
Waste-derived bioethanol accounted for 17.58% of the total bioethanol blended into petrol in the UK in 2022.
Other sources contributed 9.11% to the bioethanol blend in UK petrol during 2022.",33,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy reports that in 2022, 17.58% of the bioethanol blended into petrol in the UK was derived from waste sources, while the rest came from corn and sugar cane.",not_greenwashing,greenergy,2022,"Bioethanol Although we are not an ethanol producer, we work with innovative third-party manufactuers to maximise our use of waste-derived ethanol as a gasoline blend component Bioethanol blended into petrol supplied in the UK in 2022 In 2022, bioethanol blended into petrol supplied in the UK was primarily derived from corn, which made up 51.7% of the total blend.
Sugar cane was the second largest source of bioethanol in the UK, contributing 21.61% to the blend.
Waste-derived bioethanol accounted for 17.58% of the total bioethanol blended into petrol in the UK in 2022.
Other sources contributed 9.11% to the bioethanol blend in UK petrol during 2022.",33,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy claims to maximize the use of waste-derived ethanol without defining what ""maximizing"" means, leading to ambiguity about the company's actual efforts.",greenwashing,greenergy,2022,"Bioethanol Although we are not an ethanol producer, we work with innovative third-party manufactuers to maximise our use of waste-derived ethanol as a gasoline blend component Bioethanol blended into petrol supplied in the UK in 2022 In 2022, bioethanol blended into petrol supplied in the UK was primarily derived from corn, which made up 51.7% of the total blend.
Sugar cane was the second largest source of bioethanol in the UK, contributing 21.61% to the blend.
Waste-derived bioethanol accounted for 17.58% of the total bioethanol blended into petrol in the UK in 2022.
Other sources contributed 9.11% to the bioethanol blend in UK petrol during 2022.",33,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Greenergy works with third-party manufacturers to increase the proportion of waste-derived ethanol in petrol blends, aiming to reach a specific target of 20% by 2025.",not_greenwashing,greenergy,2022,"Bioethanol Although we are not an ethanol producer, we work with innovative third-party manufactuers to maximise our use of waste-derived ethanol as a gasoline blend component Bioethanol blended into petrol supplied in the UK in 2022 In 2022, bioethanol blended into petrol supplied in the UK was primarily derived from corn, which made up 51.7% of the total blend.
Sugar cane was the second largest source of bioethanol in the UK, contributing 21.61% to the blend.
Waste-derived bioethanol accounted for 17.58% of the total bioethanol blended into petrol in the UK in 2022.
Other sources contributed 9.11% to the bioethanol blend in UK petrol during 2022.",33,Yes,2 to 5 years,Yes,Clear,https://www.greenergy.com/userfiles/media/greenergy/pdf%20uploads/esg-2022.pdf
"Baytex Energy claims that oil and natural gas production will continue to be instrumental in the energy transition for decades, despite the growing emphasis on renewable energy sources.",greenwashing,baytexenergy,2023,"OUR APPROACH TO ESG PRODUCING THE ENERGY THE WORLD NEEDS Society is faced with the dual challenge of mitigating the impacts of climate change while meeting the increasing energy needs of a growing population. A broad energy mix is needed to improve living conditions and feed 8 billion people around the world. Energy systems are fundamental to the products used by people everyday and power industries, generate electricity, provide heat for homes, and fuel the transport of goods and people. To respond to this challenge, energy systems are undergoing a transition. We believe that oil and natural gas production will continue for decades to come and will be instrumental in the energy transition. Oil and gas are abundant, energy dense, and easy-to-transport resources. Although alternative energy sources are increasingly available, there are applications where no reliable or affordable substitute exists. We believe that producing energy resources through efﬁcient operations positively contributes to society by meeting the world’s energy needs while minimizing our environmental impacts.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy acknowledges that oil and natural gas will continue to play a role in the energy transition for decades, while also emphasizing the need for efficient operations to minimize environmental impacts.",not_greenwashing,baytexenergy,2023,"OUR APPROACH TO ESG PRODUCING THE ENERGY THE WORLD NEEDS Society is faced with the dual challenge of mitigating the impacts of climate change while meeting the increasing energy needs of a growing population. A broad energy mix is needed to improve living conditions and feed 8 billion people around the world. Energy systems are fundamental to the products used by people everyday and power industries, generate electricity, provide heat for homes, and fuel the transport of goods and people. To respond to this challenge, energy systems are undergoing a transition. We believe that oil and natural gas production will continue for decades to come and will be instrumental in the energy transition. Oil and gas are abundant, energy dense, and easy-to-transport resources. Although alternative energy sources are increasingly available, there are applications where no reliable or affordable substitute exists. We believe that producing energy resources through efﬁcient operations positively contributes to society by meeting the world’s energy needs while minimizing our environmental impacts.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy highlights the abundance, energy density, and ease of transport of oil and gas as positive attributes without mentioning the significant environmental impacts associated with their extraction and use.",greenwashing,baytexenergy,2023,"OUR APPROACH TO ESG PRODUCING THE ENERGY THE WORLD NEEDS Society is faced with the dual challenge of mitigating the impacts of climate change while meeting the increasing energy needs of a growing population. A broad energy mix is needed to improve living conditions and feed 8 billion people around the world. Energy systems are fundamental to the products used by people everyday and power industries, generate electricity, provide heat for homes, and fuel the transport of goods and people. To respond to this challenge, energy systems are undergoing a transition. We believe that oil and natural gas production will continue for decades to come and will be instrumental in the energy transition. Oil and gas are abundant, energy dense, and easy-to-transport resources. Although alternative energy sources are increasingly available, there are applications where no reliable or affordable substitute exists. We believe that producing energy resources through efﬁcient operations positively contributes to society by meeting the world’s energy needs while minimizing our environmental impacts.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy emphasizes the abundance, energy density, and ease of transport of oil and gas, while also committing to reducing the environmental footprint through sustainable practices.",not_greenwashing,baytexenergy,2023,"OUR APPROACH TO ESG PRODUCING THE ENERGY THE WORLD NEEDS Society is faced with the dual challenge of mitigating the impacts of climate change while meeting the increasing energy needs of a growing population. A broad energy mix is needed to improve living conditions and feed 8 billion people around the world. Energy systems are fundamental to the products used by people everyday and power industries, generate electricity, provide heat for homes, and fuel the transport of goods and people. To respond to this challenge, energy systems are undergoing a transition. We believe that oil and natural gas production will continue for decades to come and will be instrumental in the energy transition. Oil and gas are abundant, energy dense, and easy-to-transport resources. Although alternative energy sources are increasingly available, there are applications where no reliable or affordable substitute exists. We believe that producing energy resources through efﬁcient operations positively contributes to society by meeting the world’s energy needs while minimizing our environmental impacts.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex will lead in responsible energy development, suggesting the company's operations are sustainable without addressing the broader environmental impact.",greenwashing,baytexenergy,2023,OUR ESG VISION Baytex will be a leader in the responsible development of energy the world needs for the future.,6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex aims to lead in responsible energy development, with a commitment to reducing the environmental impact of its operations through specific initiatives.",not_greenwashing,baytexenergy,2023,OUR ESG VISION Baytex will be a leader in the responsible development of energy the world needs for the future.,6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy claims a 20% reduction in greenhouse gas emissions since 2015 without providing specific metrics or definitions for what constitutes a reduction in emissions.,greenwashing,baytexenergy,2023,"OUR APPROACH We believe environmental, social, and governance performance is key to our long-term success.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy reports a 20% reduction in greenhouse gas emissions since 2015, supported by detailed metrics and definitions provided in the report.",not_greenwashing,baytexenergy,2023,"OUR APPROACH We believe environmental, social, and governance performance is key to our long-term success.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy presents compliance with environmental regulations as a voluntary sustainability initiative.,greenwashing,baytexenergy,2023,"OUR APPROACH We believe environmental, social, and governance performance is key to our long-term success.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy complies with all environmental regulations and actively participates in additional voluntary sustainability initiatives.,not_greenwashing,baytexenergy,2023,"OUR APPROACH We believe environmental, social, and governance performance is key to our long-term success.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy claims to use renewable energy sources without disclosing the proportion of total energy consumption that comes from these sources.,greenwashing,baytexenergy,2023,"OUR APPROACH We believe environmental, social, and governance performance is key to our long-term success.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy uses renewable energy sources, with 30% of total energy consumption coming from these sources, as disclosed in the report.",not_greenwashing,baytexenergy,2023,"OUR APPROACH We believe environmental, social, and governance performance is key to our long-term success.",6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy claims to manage and reduce environmental impacts without providing specific examples or data to substantiate these claims.,greenwashing,baytexenergy,2023,"OUR VALUES We have built into our culture a strong connection and sense of responsibility to our communities and stakeholders. Our core values of sustainability, connection, and empowerment guide our actions and decision-making. SUSTAINABILITY For us, sustainability means managing and reducing our environmental impacts, strengthening our corporate resilience, and remaining relevant into the future. CONNECTION We believe that fostering positive relationships and strong connections, inside and outside our company, are key to developing the innovative solutions needed to thrive as a company and as a society. EMPOWERMENT We recognize that individual decisions and actions determine our collective culture and, ultimately, the success of our company. In all areas of our business, we foster a culture of supportive leadership, empowerment, and shared accountability.",6,Yes,Already,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
